,Name,Age,Gender
0,"['person1', 'jpg']",33,Man
1,"['person10', 'jpeg']",29,Woman
2,"['person11', 'jpeg']",19,Man
3,"['person12', 'jpeg']",19,Woman
4,"['person12', 'jpg']",17,Woman
5,"['person13', 'jpeg']",24,Man
6,"['person14', 'jpeg']",27,Woman
7,"['person15', 'jpeg']",25,Man
8,"['person2', 'webp']",32,Man
9,"['person3', 'jpg']",27,Man
10,"['person4', 'jpeg']",25,Man
11,"['person5', 'jpeg']",23,Woman
12,"['person6', 'jpeg']",25,Man
13,"['person7', 'jpeg']",40,Man
14,"['person8', 'jpeg']",22,Woman
15,"['person9', 'jpeg']",31,Woman
